Most negative lemmas,Most positive lemmas
"('oversold', 1.6923076923076923)","('singh', 4.684210526315789)"
"('compensation', 1.6951219512195121)","('flores', 4.684210526315789)"
"('unacceptable', 1.696048632218845)","('erika', 4.666666666666667)"
"('unprofessionally', 1.7)","('cherish', 4.666666666666667)"
"('unsympathetic', 1.7)","('strapless', 4.666666666666667)"
"('retrain', 1.7142857142857142)","('pioneer', 4.666666666666667)"
"('supervisor', 1.7198275862068966)","('dune', 4.666666666666667)"
"('mortified', 1.72)","('wondrous', 4.666666666666667)"
"('twiddling', 1.7272727272727273)","('mosque', 4.666666666666667)"
"('apathy', 1.7333333333333334)","('soulful', 4.666666666666667)"
"('riddance', 1.7333333333333334)","('knockout', 4.666666666666667)"
"('dispute', 1.7333333333333334)","('spinner', 4.666666666666667)"
"('scathing', 1.75)","('dedication', 4.6571428571428575)"
"('matte', 1.75)","('perfecto', 4.647058823529412)"
"('disrespect', 1.75)","('brent', 4.645161290322581)"
"('dispatch', 1.7586206896551724)","('immaculately', 4.642857142857143)"
"('defective', 1.7636363636363637)","('sundrops', 4.636363636363637)"
"('poisoning', 1.7658730158730158)","('teasing', 4.636363636363637)"
"('unapologetic', 1.7674418604651163)","('jo', 4.632352941176471)"
"('termination', 1.7692307692307692)","('sublime', 4.627272727272727)"
"('unclean', 1.7692307692307692)","('tammy', 4.627118644067797)"
"('shameful', 1.7741935483870968)","('unity', 4.625)"
"('appalling', 1.7755102040816326)","('cheered', 4.625)"
"('lied', 1.782122905027933)","('metropolis', 4.625)"
"('disgusting', 1.7849462365591398)","('transcendent', 4.625)"
"('insulting', 1.7924528301886793)","('timeless', 4.625)"
"('insult', 1.79874213836478)","('punctual', 4.622641509433962)"
"('recourse', 1.8)","('veterinary', 4.622222222222222)"
"('marijuana', 1.8)","('prefect', 4.621621621621622)"
"('cuss', 1.8)","('amaze', 4.621212121212121)"
"('unusable', 1.8)","('cruller', 4.619047619047619)"
"('dispatcher', 1.8076923076923077)","('cyclist', 4.617647058823529)"
"('vomiting', 1.8095238095238095)","('thoroughness', 4.615384615384615)"
"('uncaring', 1.8095238095238095)","('bakeshop', 4.615384615384615)"
"('cockroach', 1.8113207547169812)","('impressionist', 4.615384615384615)"
"('horrible', 1.8117612293144207)","('effortlessly', 4.611111111111111)"
"('insincere', 1.8181818181818181)","('colorist', 4.608695652173913)"
"('decency', 1.8181818181818181)","('masterpiece', 4.606741573033708)"
"('undesirable', 1.8235294117647058)","('approachable', 4.605633802816901)"
"('rude', 1.8382563808431316)","('infertility', 4.6)"
"('rotten', 1.8396946564885497)","('cholla', 4.6)"
"('condescending', 1.8421052631578947)","('transforming', 4.6)"
"('disorganization', 1.85)","('exposition', 4.6)"
"('dismissive', 1.8518518518518519)","('whey', 4.6)"
"('consign', 1.8571428571428572)","('luxuriously', 4.6)"
"('refusal', 1.8571428571428572)","('marvelously', 4.6)"
"('rudeness', 1.8602150537634408)","('spak', 4.6)"
"('deplorable', 1.8620689655172413)","('teaze', 4.6)"
"('smudged', 1.8666666666666667)","('compassionate', 4.597560975609756)"
"('dishonest', 1.8732394366197183)","('meticulous', 4.597222222222222)"
"('threaten', 1.875)","('hiro', 4.592592592592593)"
"('grudgingly', 1.875)","('seamless', 4.588235294117647)"
"('hostage', 1.88)","('jess', 4.588235294117647)"
"('inedible', 1.8817891373801916)","('violin', 4.588235294117647)"
"('stank', 1.8823529411764706)","('flawless', 4.5875)"
"('diarrhea', 1.8840579710144927)","('unparalleled', 4.583333333333333)"
"('filthy', 1.8844884488448845)","('worship', 4.583333333333333)"
"('audacity', 1.8870967741935485)","('oversell', 4.583333333333333)"
"('thief', 1.893939393939394)","('charisma', 4.583333333333333)"
"('unworthy', 1.9)","('credible', 4.583333333333333)"
"('arbitrary', 1.9)","('fantastico', 4.583333333333333)"
"('waive', 1.9)","('friendship', 4.580645161290323)"
"('flabby', 1.9)","('vee', 4.571428571428571)"
"('optimism', 1.9)","('doodle', 4.571428571428571)"
"('uneducated', 1.903225806451613)","('alpine', 4.571428571428571)"
"('cancel', 1.9036827195467423)","('intelligentsia', 4.571428571428571)"
"('reversed', 1.9047619047619047)","('unforgettable', 4.5675675675675675)"
"('rectify', 1.9074074074074074)","('communicator', 4.5625)"
"('thump', 1.9090909090909092)","('dedicate', 4.5625)"
"('composite', 1.9090909090909092)","('halcyon', 4.5625)"
"('blamed', 1.9125)","('ecstasy', 4.56)"
"('smirk', 1.9130434782608696)","('orgasmic', 4.5588235294117645)"
"('greed', 1.9130434782608696)","('unmatched', 4.555555555555555)"
"('correspondence', 1.9166666666666667)","('unbeatable', 4.552631578947368)"
"('scummy', 1.9166666666666667)","('encouragement', 4.551724137931035)"
"('criminal', 1.917808219178082)","('roka', 4.55)"
"('allegiant', 1.9230769230769231)","('exquisite', 4.549295774647887)"
"('documentation', 1.9230769230769231)","('oodles', 4.545454545454546)"
"('awful', 1.9251583189407024)","('dagger', 4.545454545454546)"
"('apology', 1.9286956521739131)","('basilica', 4.545454545454546)"
"('stunk', 1.930232558139535)","('hypnotist', 4.545454545454546)"
"('displeasure', 1.9333333333333333)","('meditation', 4.545454545454546)"
"('pathetic', 1.936842105263158)","('fiddle', 4.545454545454546)"
"('marathoner', 1.9375)","('vesper', 4.542857142857143)"
"('degrading', 1.9375)","('dale', 4.538461538461538)"
"('distasteful', 1.9375)","('forefather', 4.538461538461538)"
"('notify', 1.9375)","('mahogany', 4.538461538461538)"
"('refusing', 1.9387755102040816)","('chippy', 4.538461538461538)"
"('horrific', 1.9444444444444444)","('paco', 4.535714285714286)"
"('consent', 1.9473684210526316)","('transform', 4.535714285714286)"
"('reimburse', 1.95)","('nancy', 4.533333333333333)"
"('salmonella', 1.95)","('filo', 4.533333333333333)"
"('abomination', 1.9523809523809523)","('cacao', 4.533333333333333)"
"('defensive', 1.9523809523809523)","('gem', 4.530841121495327)"
"('irresponsible', 1.9545454545454546)","('seductive', 4.529411764705882)"
"('angrily', 1.9565217391304348)","('magnum', 4.521739130434782)"
"('blankly', 1.9565217391304348)","('attic', 4.520833333333333)"
"('unreliable', 1.9615384615384615)","('expertly', 4.52)"
"('anger', 1.9636363636363636)","('sinfully', 4.518518518518518)"
"('terrible', 1.9657251666137734)","('supportive', 4.515151515151516)"
"('bureau', 1.9666666666666666)","('pinball', 4.5144927536231885)"
"('displeased', 1.9736842105263157)","('elaine', 4.513513513513513)"
"('abysmal', 1.98)","('chiropractic', 4.508771929824562)"
"('theft', 1.9814814814814814)","('incredible', 4.504823151125402)"
"('yuck', 1.986376021798365)","('beth', 4.5)"
"('hurriedly', 2.0)","('consummate', 4.5)"
"('genetically', 2.0)","('derrick', 4.5)"
"('mouthed', 2.0)","('kensington', 4.5)"
"('harassment', 2.0)","('tory', 4.5)"
"('cheng', 2.0)","('invaluable', 4.5)"
"('abusive', 2.0)","('piercer', 4.5)"
"('cussed', 2.0)","('limitless', 4.5)"
"('careless', 2.0)","('octane', 4.5)"
"('repulsive', 2.0)","('exhilarating', 4.5)"
"('unhappiness', 2.0)","('tapestry', 4.5)"
"('muck', 2.0)","('garth', 4.5)"
"('rinsing', 2.0)","('fling', 4.5)"
"('malfunction', 2.0)","('accomplishment', 4.5)"
"('pubic', 2.0)","('bumble', 4.5)"
"('crook', 2.0)","('immortal', 4.5)"
"('racist', 2.0)","('poem', 4.5)"
"('impatiently', 2.0)","('earthiness', 4.5)"
"('billed', 2.0)","('gush', 4.5)"
"('disconnect', 2.0)","('cote', 4.5)"
"('falsely', 2.0)","('experimented', 4.5)"
"('methinks', 2.0)","('rejoice', 4.5)"
"('hertz', 2.012987012987013)","('bonbon', 4.5)"
"('tablespoon', 2.0208333333333335)","('gene', 4.490196078431373)"
"('substandard', 2.021276595744681)","('nectar', 4.489795918367347)"
"('filth', 2.024390243902439)","('kat', 4.48936170212766)"
"('tasteless', 2.0296610169491527)","('yogi', 4.488888888888889)"
"('unsanitary', 2.032258064516129)","('ana', 4.485714285714286)"
"('blatant', 2.032258064516129)","('healing', 4.483870967741935)"
"('acknowledge', 2.0346020761245676)","('highly', 4.482236953935067)"
"('fingernail', 2.037037037037037)","('charismatic', 4.481481481481482)"
"('poorly', 2.0404858299595143)","('competitively', 4.48)"
"('shoddy', 2.0434782608695654)","('troy', 4.47887323943662)"
"('hastily', 2.0454545454545454)","('hooked', 4.477148080438757)"
"('hostile', 2.0454545454545454)","('hiker', 4.476190476190476)"
"('scold', 2.0526315789473686)","('phenomenal', 4.4759568204121685)"
"('indifference', 2.0555555555555554)","('paolo', 4.473684210526316)"
"('pitiful', 2.0555555555555554)","('insight', 4.472727272727273)"
"('blatantly', 2.06)","('helpfulness', 4.470588235294118)"
"('interrupted', 2.0602409638554215)","('tribal', 4.470588235294118)"
"('aggressively', 2.0606060606060606)","('emporium', 4.470588235294118)"
"('unedible', 2.0625)","('cycling', 4.470588235294118)"
"('hateful', 2.0625)","('suckling', 4.470588235294118)"
"('unwilling', 2.064516129032258)","('indulgent', 4.470588235294118)"
"('fecal', 2.066666666666667)","('frit', 4.470588235294118)"
"('serial', 2.066666666666667)","('seamlessly', 4.46875)"
"('aggravation', 2.0689655172413794)","('pampered', 4.4672897196261685)"
"('impolite', 2.0714285714285716)","('tango', 4.466666666666667)"
"('ungrateful', 2.0714285714285716)","('gorgeously', 4.466666666666667)"
"('flavorless', 2.0791666666666666)","('trotter', 4.466666666666667)"
"('unfriendly', 2.0809859154929575)","('seater', 4.466666666666667)"
"('horrid', 2.082706766917293)","('awesomely', 4.466666666666667)"
"('empathy', 2.0833333333333335)","('centerpiece', 4.465116279069767)"
"('collateral', 2.0833333333333335)","('drool', 4.464285714285714)"
"('downhill', 2.0838709677419356)","('ingenious', 4.464285714285714)"
"('denominator', 2.090909090909091)","('cobra', 4.461538461538462)"
"('unpaid', 2.090909090909091)","('painless', 4.461538461538462)"
"('rational', 2.090909090909091)","('anesthesia', 4.461538461538462)"
"('cox', 2.0921052631578947)","('inspirational', 4.461538461538462)"
"('sewage', 2.0943396226415096)","('spooning', 4.461538461538462)"
"('sternly', 2.1)","('esoteric', 4.461538461538462)"
"('spat', 2.1)","('unpretentious', 4.460869565217391)"
"('catastrophe', 2.1)","('talented', 4.460106382978723)"
"('delusional', 2.1)","('trustworthy', 4.458823529411765)"
"('scab', 2.1)","('electrician', 4.458333333333333)"
"('liability', 2.1)","('utmost', 4.458333333333333)"
"('laughable', 2.1)","('taffy', 4.458333333333333)"
"('helpless', 2.1)","('soho', 4.458333333333333)"
"('unseasoned', 2.1)","('roofing', 4.458333333333333)"
"('roach', 2.104575163398693)","('snowflake', 4.457142857142857)"
"('horrendous', 2.106145251396648)","('impeccable', 4.456862745098039)"
"('waste', 2.10857908847185)","('troupe', 4.454545454545454)"
"('moldy', 2.109090909090909)","('simulation', 4.454545454545454)"
"('prepay', 2.111111111111111)","('moro', 4.454545454545454)"
"('false', 2.1124260355029585)","('bushing', 4.454545454545454)"
"('clump', 2.1129032258064515)","('artful', 4.454545454545454)"
"('lousy', 2.1153846153846154)","('gizzard', 4.454545454545454)"
"('altercation', 2.1176470588235294)","('clint', 4.454545454545454)"
"('budge', 2.12)","('kino', 4.454545454545454)"
"('billing', 2.1215469613259668)","('catwalk', 4.454545454545454)"
"('unattentive', 2.1219512195121952)","('delirium', 4.454545454545454)"
"('deception', 2.125)","('knowledgeable', 4.454495311638169)"
"('gossiping', 2.125)","('marco', 4.453125)"
"('rotting', 2.125)","('intuitive', 4.451612903225806)"
"('irate', 2.125)","('gardener', 4.45)"
"('screwing', 2.125)","('alternating', 4.45)"
"('mumbling', 2.125)","('perfection', 4.449438202247191)"
"('reply', 2.125461254612546)","('gardening', 4.448979591836735)"
"('atrocious', 2.129032258064516)","('kai', 4.445652173913044)"
"('contempt', 2.1333333333333333)","('degustation', 4.444444444444445)"
"('gasket', 2.1333333333333333)","('hangar', 4.444444444444445)"
"('bewildered', 2.1333333333333333)","('tanner', 4.444444444444445)"
"('egregious', 2.142857142857143)","('exemplary', 4.444444444444445)"
"('confront', 2.142857142857143)","('preservation', 4.444444444444445)"
"('eatable', 2.142857142857143)","('restrain', 4.444444444444445)"
"('zero', 2.1433915211970076)","('amazing', 4.4437901788125975)"
"('uninterested', 2.1451612903225805)","('photography', 4.440366972477064)"
"('verbally', 2.1463414634146343)","('archery', 4.44)"
"('iris', 2.15)","('bonsai', 4.44)"
"('inept', 2.15)","('addicted', 4.4393939393939394)"
"('disbelief', 2.152542372881356)","('meticulously', 4.439024390243903)"
"('snide', 2.1538461538461537)","('blemish', 4.4375)"
"('jagged', 2.1538461538461537)","('mouthwash', 4.4375)"
"('bait', 2.1538461538461537)","('chant', 4.4375)"
"('disgust', 2.156862745098039)","('vaulted', 4.4375)"
"('blandness', 2.1578947368421053)","('personalize', 4.4375)"
"('unorganized', 2.1588785046728973)","('submarine', 4.4375)"
"('inefficient', 2.16)","('wellness', 4.436619718309859)"
"('investigation', 2.161290322580645)","('heavenly', 4.436619718309859)"
"('gnat', 2.1666666666666665)","('awesomeness', 4.436241610738255)"
"('confrontation', 2.1666666666666665)","('barry', 4.435897435897436)"
"('parasite', 2.1666666666666665)","('alan', 4.431372549019608)"
"('translucent', 2.1666666666666665)","('awe', 4.430656934306569)"
"('unsuspecting', 2.1724137931034484)","('lovingly', 4.428571428571429)"
"('tepid', 2.1739130434782608)","('thoughtfully', 4.428571428571429)"
"('nastiness', 2.176470588235294)","('thoughtfulness', 4.428571428571429)"
"('retard', 2.176470588235294)","('reed', 4.428571428571429)"
"('blob', 2.1785714285714284)","('uplifting', 4.428571428571429)"
"('slop', 2.1785714285714284)","('goulash', 4.428571428571429)"
"('reschedule', 2.1797752808988764)","('sharable', 4.428571428571429)"
"('reconcile', 2.1818181818181817)","('savored', 4.428571428571429)"
"('unfolded', 2.1818181818181817)","('delectably', 4.428571428571429)"
"('coldly', 2.1818181818181817)","('chanterelle', 4.428571428571429)"
"('explicitly', 2.1818181818181817)","('crag', 4.428571428571429)"
"('lint', 2.1818181818181817)","('immaculate', 4.427350427350428)"
"('surveillance', 2.1818181818181817)","('informative', 4.426506024096385)"
"('incapable', 2.1818181818181817)","('mindful', 4.424242424242424)"
"('worse', 2.184729064039409)","('thorough', 4.421739130434783)"
"('yee', 2.1875)","('superb', 4.421296296296297)"
"('mower', 2.1875)","('bliss', 4.4206896551724135)"
"('violation', 2.1911764705882355)","('pomme', 4.42)"
"('cuticle', 2.1914893617021276)","('blessed', 4.4186046511627906)"
"('disinterested', 2.193548387096774)","('hydraulic', 4.416666666666667)"
"('nonchalant', 2.2)","('asymmetrical', 4.416666666666667)"
"('unemployed', 2.2)","('jordan', 4.416666666666667)"
"('revolting', 2.2)","('lounger', 4.416666666666667)"
"('smug', 2.2)","('congratulate', 4.416666666666667)"
"('nausea', 2.2)","('rend', 4.416666666666667)"
"('sympathize', 2.2)","('impersonation', 4.416666666666667)"
"('dismal', 2.2058823529411766)","('envious', 4.416666666666667)"
"('immature', 2.2058823529411766)","('retractable', 4.416666666666667)"
"('representative', 2.2071428571428573)","('insightful', 4.416666666666667)"
"('vomit', 2.209090909090909)","('candlelight', 4.416666666666667)"
"('particle', 2.210526315789474)","('author', 4.413793103448276)"
"('unkempt', 2.210526315789474)","('bookshop', 4.413793103448276)"
"('useless', 2.2125)","('lily', 4.413333333333333)"
"('pleading', 2.2142857142857144)","('delectable', 4.413249211356467)"
"('belligerent', 2.217391304347826)","('royalty', 4.413043478260869)"
"('screwed', 2.220532319391635)","('raja', 4.411764705882353)"
"('dump', 2.221212121212121)","('colin', 4.411764705882353)"
"('investigating', 2.2222222222222223)","('kinky', 4.411764705882353)"
"('boycott', 2.2222222222222223)","('heaven', 4.411544227886057)"
"('untrained', 2.2222222222222223)","('chia', 4.409090909090909)"
"('publicly', 2.2222222222222223)","('woohoo', 4.409090909090909)"
"('worthless', 2.225806451612903)","('ambassador', 4.409090909090909)"
"('contracted', 2.227272727272727)","('seth', 4.409090909090909)"
"('incorrect', 2.2289156626506026)","('butler', 4.404255319148936)"
"('invoice', 2.230769230769231)","('scrumptious', 4.4021739130434785)"
"('poor', 2.2310973245443972)","('heartbeat', 4.401515151515151)"
"('proceeds', 2.2314814814814814)","('persona', 4.4)"
"('horribly', 2.2327586206896552)","('majestic', 4.4)"
"('visibly', 2.2333333333333334)","('sermon', 4.4)"
"('slopped', 2.235294117647059)","('canon', 4.4)"
"('threatening', 2.236842105263158)","('turquoise', 4.4)"
"('thirdly', 2.238095238095238)","('victor', 4.4)"
"('broom', 2.238095238095238)","('eloquent', 4.4)"
"('turd', 2.24)","('poco', 4.4)"
"('unresponsive', 2.24)","('inhale', 4.4)"
"('lukewarm', 2.240740740740741)","('sphere', 4.4)"
"('utility', 2.242424242424242)","('newton', 4.4)"
"('bogus', 2.2439024390243905)","('shading', 4.4)"
"('permission', 2.2452830188679247)","('eucalyptus', 4.4)"
"('cursory', 2.25)","('excelente', 4.4)"
"('alliance', 2.25)","('phenomenally', 4.4)"
"('pretended', 2.25)","('woven', 4.4)"
"('unsatisfactory', 2.25)","('otherworldly', 4.4)"
"('troubling', 2.25)","('outlaw', 4.4)"
"('cancellation', 2.25)","('nigori', 4.4)"
"('tipper', 2.25)","('chimney', 4.4)"
"('overcharge', 2.25)","('overture', 4.4)"
"('apologize', 2.254854368932039)","('sift', 4.4)"
"('sarcastic', 2.257142857142857)","('chalet', 4.4)"
"('improperly', 2.2580645161290325)","('chauffeur', 4.4)"
"('marginal', 2.260869565217391)","('selfishly', 4.4)"
"('acknowledged', 2.2615384615384615)","('neighborly', 4.4)"
"('semblance', 2.263157894736842)","('onwards', 4.4)"
"('ryder', 2.263157894736842)","('cinch', 4.4)"
"('remake', 2.264367816091954)","('ped', 4.4)"
"('jackass', 2.264705882352941)","('joyfully', 4.4)"
"('lease', 2.2660944206008584)","('peripheral', 4.4)"
"('rape', 2.2666666666666666)","('obsession', 4.397590361445783)"
"('medic', 2.2666666666666666)","('collectible', 4.394736842105263)"
"('unsatisfying', 2.269230769230769)","('pied', 4.394736842105263)"
"('hag', 2.272727272727273)","('poetry', 4.394736842105263)"
"('flinch', 2.272727272727273)","('humidor', 4.393939393939394)"
"('uneven', 2.274074074074074)","('inspiration', 4.391891891891892)"
"('vile', 2.2777777777777777)","('oolong', 4.391304347826087)"
"('curled', 2.2777777777777777)","('fantastic', 4.390956194065002)"
"('deceptive', 2.2777777777777777)","('communicative', 4.388888888888889)"
"('urine', 2.2790697674418605)","('emotionally', 4.388888888888889)"
"('upset', 2.279126213592233)","('smitten', 4.388888888888889)"
"('dreadful', 2.283333333333333)","('scrambler', 4.388888888888889)"
"('ugh', 2.285416666666667)","('regent', 4.387096774193548)"
"('embarrassment', 2.2857142857142856)","('unobtrusive', 4.387096774193548)"
"('blaming', 2.2857142857142856)","('scorpion', 4.386363636363637)"
"('obese', 2.2857142857142856)","('divine', 4.386036960985626)"
"('inconsiderate', 2.2857142857142856)","('bravo', 4.385964912280702)"
"('insect', 2.2857142857142856)","('tailor', 4.384615384615385)"
"('muttering', 2.2857142857142856)","('muffler', 4.384615384615385)"
"('unappetizing', 2.287037037037037)","('tam', 4.384615384615385)"
"('cocky', 2.2903225806451615)","('stuffiness', 4.384615384615385)"
"('murky', 2.2916666666666665)","('monastery', 4.384615384615385)"
"('regulation', 2.2916666666666665)","('naughty', 4.384615384615385)"
"('flawed', 2.2941176470588234)","('beagle', 4.384615384615385)"
"('racial', 2.2941176470588234)","('eclipse', 4.384615384615385)"
"('haphazard', 2.2941176470588234)","('zink', 4.384615384615385)"
"('virus', 2.2962962962962963)","('increment', 4.384615384615385)"
"('mealy', 2.2962962962962963)","('escolar', 4.384615384615385)"
"('meanwhile', 2.2977099236641223)","('marcel', 4.384615384615385)"
"('shrug', 2.297872340425532)","('strenuous', 4.384615384615385)"
"('response', 2.298835705045278)","('lam', 4.384615384615385)"
"('floret', 2.3)","('explorer', 4.384615384615385)"
"('dreg', 2.3)","('wonderful', 4.382167611846251)"
"('ghastly', 2.3)","('magnificent', 4.381502890173411)"
"('moot', 2.3)","('quilt', 4.380952380952381)"
"('unwashed', 2.3)","('hale', 4.380952380952381)"
"('sedan', 2.3)","('fern', 4.380952380952381)"
"('projectile', 2.3)","('midwife', 4.380952380952381)"
"('sympathy', 2.3)","('lance', 4.380952380952381)"
"('stitching', 2.3)","('feminine', 4.380952380952381)"
"('humiliating', 2.3)","('poncho', 4.380952380952381)"
"('responsibility', 2.302158273381295)","('fetish', 4.380952380952381)"
"('gross', 2.3028919330289193)","('fabulous', 4.3792383933229)"
"('protest', 2.3043478260869565)","('thoughtful', 4.378378378378378)"
"('nasty', 2.3054054054054056)","('escalade', 4.375)"
"('untouched', 2.3066666666666666)","('homeowner', 4.375)"
"('frustration', 2.3068181818181817)","('unanimous', 4.375)"
"('incident', 2.307392996108949)","('dreamy', 4.375)"
"('omen', 2.3076923076923075)","('invigorating', 4.375)"
"('artificially', 2.3076923076923075)","('dieter', 4.375)"
"('notified', 2.308333333333333)","('sumac', 4.375)"
"('miserably', 2.3095238095238093)","('perfect', 4.372410147991543)"
"('enemy', 2.3137254901960786)","('wonderfully', 4.372159090909091)"
"('airway', 2.3140495867768593)","('playful', 4.372093023255814)"
"('ruined', 2.315068493150685)","('spotless', 4.371727748691099)"
"('rip', 2.316901408450704)","('praline', 4.37037037037037)"
"('ambulance', 2.3181818181818183)","('skilled', 4.369127516778524)"
"('arriba', 2.3181818181818183)","('kuge', 4.368421052631579)"
"('rust', 2.3214285714285716)","('intricate', 4.36734693877551)"
"('stolen', 2.3254437869822486)","('impeccably', 4.36734693877551)"
"('expiration', 2.3285714285714287)","('symphony', 4.367088607594937)"
"('bluntly', 2.3333333333333335)","('vert', 4.366666666666666)"
"('idiotic', 2.3333333333333335)","('kindness', 4.365384615384615)"
"('inserted', 2.3333333333333335)","('rigorous', 4.363636363636363)"
"('haggard', 2.3333333333333335)","('neurologist', 4.363636363636363)"
"('accountability', 2.3333333333333335)","('tamara', 4.363636363636363)"
"('sickly', 2.3333333333333335)","('agreeable', 4.363636363636363)"
"('meaningless', 2.3333333333333335)","('discipline', 4.363636363636363)"
"('berger', 2.3333333333333335)","('environmental', 4.363636363636363)"
"('disheartening', 2.3333333333333335)","('apex', 4.363636363636363)"
"('rampant', 2.3333333333333335)","('poundcake', 4.363636363636363)"
"('unwelcome', 2.3333333333333335)","('delicioso', 4.363636363636363)"
"('abnormal', 2.3333333333333335)","('cowgate', 4.363636363636363)"
"('caller', 2.3333333333333335)","('taproom', 4.363636363636363)"
"('failure', 2.3359375)","('secondhand', 4.363636363636363)"
"('stale', 2.3360655737704916)","('inception', 4.363636363636363)"
"('receipt', 2.3399470899470898)","('harmonious', 4.363636363636363)"
"('admitted', 2.3407407407407406)","('longue', 4.363636363636363)"
"('wasted', 2.342042755344418)","('baxter', 4.363636363636363)"
"('dissatisfied', 2.3457943925233646)","('soprano', 4.363636363636363)"
"('rag', 2.3461538461538463)","('rival', 4.3630573248407645)"
"('moron', 2.3472222222222223)","('piccolo', 4.36)"
"('slimy', 2.347826086956522)","('awesome', 4.359917900601085)"
"('incorrectly', 2.3493975903614457)","('helmet', 4.359375)"
"('contract', 2.351585014409222)","('sensory', 4.358974358974359)"
"('repeated', 2.352112676056338)","('poodle', 4.357142857142857)"
"('inexperienced', 2.352272727272727)","('botanical', 4.357142857142857)"
"('manager', 2.3525984251968506)","('sod', 4.357142857142857)"
"('inconvenience', 2.3542435424354244)","('morocco', 4.357142857142857)"
"('solicited', 2.357142857142857)","('ease', 4.356608478802992)"
"('knowingly', 2.357142857142857)","('savor', 4.3565891472868215)"
"('choke', 2.358490566037736)","('brett', 4.354838709677419)"
"('inattentive', 2.3594771241830066)","('heartily', 4.354838709677419)"
"('sandpaper', 2.3636363636363638)","('aerial', 4.354838709677419)"
"('shatter', 2.3636363636363638)","('beautifully', 4.353204172876304)"
"('lawsuit', 2.3636363636363638)","('parasol', 4.352941176470588)"
"('childish', 2.3636363636363638)","('flawlessly', 4.352941176470588)"
"('reiterated', 2.3636363636363638)","('mobility', 4.352941176470588)"
"('illegally', 2.3636363636363638)","('wod', 4.352941176470588)"
"('drainage', 2.3684210526315788)","('pillowy', 4.352941176470588)"
"('discernible', 2.3684210526315788)","('coed', 4.352941176470588)"
"('threat', 2.3684210526315788)","('addiction', 4.3517241379310345)"
"('scowl', 2.3684210526315788)","('disappoint', 4.350462487153135)"
"('lackadaisical', 2.3684210526315788)","('skyscraper', 4.35)"
